"name","run.no.in.std.order","run.no","run.no.std.rp","test","size","time"
"1","7",1,"7.1","seq-simd","2000",""
"2","15",2,"15.1","parallel-inverted-simd-aligned","4000",""
"3","4",3,"4.1","seq-inverted-simd-aligned","1000",""
"4","10",4,"10.1","parallel-inverted-simd-aligned","2000",""
"5","13",5,"13.1","seq-inverted-simd","4000",""
"6","11",6,"11.1","seq","4000",""
"7","9",7,"9.1","seq-inverted-simd-aligned","2000",""
"8","2",8,"2.1","seq-simd","1000",""
"9","12",9,"12.1","seq-simd","4000",""
"10","14",10,"14.1","seq-inverted-simd-aligned","4000",""
"11","6",11,"6.1","seq","2000",""
"12","5",12,"5.1","parallel-inverted-simd-aligned","1000",""
"13","8",13,"8.1","seq-inverted-simd","2000",""
"14","1",14,"1.1","seq","1000",""
"15","3",15,"3.1","seq-inverted-simd","1000",""
"16","10",16,"10.2","parallel-inverted-simd-aligned","2000",""
"17","8",17,"8.2","seq-inverted-simd","2000",""
"18","12",18,"12.2","seq-simd","4000",""
"19","2",19,"2.2","seq-simd","1000",""
"20","3",20,"3.2","seq-inverted-simd","1000",""
"21","9",21,"9.2","seq-inverted-simd-aligned","2000",""
"22","1",22,"1.2","seq","1000",""
"23","4",23,"4.2","seq-inverted-simd-aligned","1000",""
"24","6",24,"6.2","seq","2000",""
"25","5",25,"5.2","parallel-inverted-simd-aligned","1000",""
"26","11",26,"11.2","seq","4000",""
"27","14",27,"14.2","seq-inverted-simd-aligned","4000",""
"28","13",28,"13.2","seq-inverted-simd","4000",""
"29","7",29,"7.2","seq-simd","2000",""
"30","15",30,"15.2","parallel-inverted-simd-aligned","4000",""
"31","11",31,"11.3","seq","4000",""
"32","3",32,"3.3","seq-inverted-simd","1000",""
"33","12",33,"12.3","seq-simd","4000",""
"34","1",34,"1.3","seq","1000",""
"35","13",35,"13.3","seq-inverted-simd","4000",""
"36","5",36,"5.3","parallel-inverted-simd-aligned","1000",""
"37","2",37,"2.3","seq-simd","1000",""
"38","6",38,"6.3","seq","2000",""
"39","9",39,"9.3","seq-inverted-simd-aligned","2000",""
"40","14",40,"14.3","seq-inverted-simd-aligned","4000",""
"41","8",41,"8.3","seq-inverted-simd","2000",""
"42","4",42,"4.3","seq-inverted-simd-aligned","1000",""
"43","10",43,"10.3","parallel-inverted-simd-aligned","2000",""
"44","7",44,"7.3","seq-simd","2000",""
"45","15",45,"15.3","parallel-inverted-simd-aligned","4000",""
"46","6",46,"6.4","seq","2000",""
"47","9",47,"9.4","seq-inverted-simd-aligned","2000",""
"48","3",48,"3.4","seq-inverted-simd","1000",""
"49","8",49,"8.4","seq-inverted-simd","2000",""
"50","15",50,"15.4","parallel-inverted-simd-aligned","4000",""
"51","4",51,"4.4","seq-inverted-simd-aligned","1000",""
"52","7",52,"7.4","seq-simd","2000",""
"53","11",53,"11.4","seq","4000",""
"54","13",54,"13.4","seq-inverted-simd","4000",""
"55","5",55,"5.4","parallel-inverted-simd-aligned","1000",""
"56","1",56,"1.4","seq","1000",""
"57","2",57,"2.4","seq-simd","1000",""
"58","14",58,"14.4","seq-inverted-simd-aligned","4000",""
"59","10",59,"10.4","parallel-inverted-simd-aligned","2000",""
"60","12",60,"12.4","seq-simd","4000",""
"61","6",61,"6.5","seq","2000",""
"62","2",62,"2.5","seq-simd","1000",""
"63","12",63,"12.5","seq-simd","4000",""
"64","10",64,"10.5","parallel-inverted-simd-aligned","2000",""
"65","9",65,"9.5","seq-inverted-simd-aligned","2000",""
"66","7",66,"7.5","seq-simd","2000",""
"67","11",67,"11.5","seq","4000",""
"68","8",68,"8.5","seq-inverted-simd","2000",""
"69","1",69,"1.5","seq","1000",""
"70","5",70,"5.5","parallel-inverted-simd-aligned","1000",""
"71","14",71,"14.5","seq-inverted-simd-aligned","4000",""
"72","3",72,"3.5","seq-inverted-simd","1000",""
