"name","run.no.in.std.order","run.no","run.no.std.rp","test","size","Blocks","time"
"1","7",1,"7.1","seq-simd","2000",".1",23.292
"2","15",2,"15.1","parallel-inverted-simd-aligned","4000",".1",4.309
"3","4",3,"4.1","seq-inverted-simd-aligned","1000",".1",0.598
"4","10",4,"10.1","parallel-inverted-simd-aligned","2000",".1",0.629
"5","13",5,"13.1","seq-inverted-simd","4000",".1",51.995
"6","11",6,"11.1","seq","4000",".1",236.725
"7","9",7,"9.1","seq-inverted-simd-aligned","2000",".1",6.083
"8","2",8,"2.1","seq-simd","1000",".1",1.461
"9","12",9,"12.1","seq-simd","4000",".1",210.464
"10","14",10,"14.1","seq-inverted-simd-aligned","4000",".1",52.963
"11","6",11,"6.1","seq","2000",".1",23.676
"12","5",12,"5.1","parallel-inverted-simd-aligned","1000",".1",0.043
"13","8",13,"8.1","seq-inverted-simd","2000",".1",6.162
"14","1",14,"1.1","seq","1000",".1",1.407
"15","3",15,"3.1","seq-inverted-simd","1000",".1",0.580
"16","10",16,"10.2","parallel-inverted-simd-aligned","2000",".2",0.557
"17","8",17,"8.2","seq-inverted-simd","2000",".2",6.098
"18","12",18,"12.2","seq-simd","4000",".2",210.431
"19","2",19,"2.2","seq-simd","1000",".2",1.596
"20","3",20,"3.2","seq-inverted-simd","1000",".2",0.591
"21","9",21,"9.2","seq-inverted-simd-aligned","2000",".2",5.936
"22","1",22,"1.2","seq","1000",".2",1.641
"23","4",23,"4.2","seq-inverted-simd-aligned","1000",".2",0.595
"24","6",24,"6.2","seq","2000",".2",23.633
"25","5",25,"5.2","parallel-inverted-simd-aligned","1000",".2",0.045
"26","11",26,"11.2","seq","4000",".2",236.764
"27","14",27,"14.2","seq-inverted-simd-aligned","4000",".2",53.078
"28","13",28,"13.2","seq-inverted-simd","4000",".2",52.004
"29","7",29,"7.2","seq-simd","2000",".2",23.538
"30","15",30,"15.2","parallel-inverted-simd-aligned","4000",".2",4.391
"31","11",31,"11.3","seq","4000",".3",236.715
"32","3",32,"3.3","seq-inverted-simd","1000",".3",0.583
"33","12",33,"12.3","seq-simd","4000",".3",210.300
"34","1",34,"1.3","seq","1000",".3",1.450
"35","13",35,"13.3","seq-inverted-simd","4000",".3",51.968
"36","5",36,"5.3","parallel-inverted-simd-aligned","1000",".3",0.040
"37","2",37,"2.3","seq-simd","1000",".3",1.467
"38","6",38,"6.3","seq","2000",".3",23.618
"39","9",39,"9.3","seq-inverted-simd-aligned","2000",".3",5.957
"40","14",40,"14.3","seq-inverted-simd-aligned","4000",".3",53.066
"41","8",41,"8.3","seq-inverted-simd","2000",".3",6.118
"42","4",42,"4.3","seq-inverted-simd-aligned","1000",".3",0.581
"43","10",43,"10.3","parallel-inverted-simd-aligned","2000",".3",0.558
"44","7",44,"7.3","seq-simd","2000",".3",23.283
"45","15",45,"15.3","parallel-inverted-simd-aligned","4000",".3",4.502
"46","6",46,"6.4","seq","2000",".4",23.630
"47","9",47,"9.4","seq-inverted-simd-aligned","2000",".4",5.999
"48","3",48,"3.4","seq-inverted-simd","1000",".4",0.588
"49","8",49,"8.4","seq-inverted-simd","2000",".4",6.088
"50","15",50,"15.4","parallel-inverted-simd-aligned","4000",".4",4.393
"51","4",51,"4.4","seq-inverted-simd-aligned","1000",".4",0.594
"52","7",52,"7.4","seq-simd","2000",".4",23.540
"53","11",53,"11.4","seq","4000",".4",236.846
"54","13",54,"13.4","seq-inverted-simd","4000",".4",52.024
"55","5",55,"5.4","parallel-inverted-simd-aligned","1000",".4",0.048
"56","1",56,"1.4","seq","1000",".4",1.410
"57","2",57,"2.4","seq-simd","1000",".4",1.515
"58","14",58,"14.4","seq-inverted-simd-aligned","4000",".4",53.009
"59","10",59,"10.4","parallel-inverted-simd-aligned","2000",".4",0.630
"60","12",60,"12.4","seq-simd","4000",".4",210.604
"61","6",61,"6.5","seq","2000",".5",23.655
"62","2",62,"2.5","seq-simd","1000",".5",1.473
"63","12",63,"12.5","seq-simd","4000",".5",210.447
"64","10",64,"10.5","parallel-inverted-simd-aligned","2000",".5",0.559
"65","9",65,"9.5","seq-inverted-simd-aligned","2000",".5",5.981
"66","7",66,"7.5","seq-simd","2000",".5",23.186
"67","11",67,"11.5","seq","4000",".5",236.705
"68","8",68,"8.5","seq-inverted-simd","2000",".5",6.165
"69","1",69,"1.5","seq","1000",".5",1.429
"70","5",70,"5.5","parallel-inverted-simd-aligned","1000",".5",0.045
"71","14",71,"14.5","seq-inverted-simd-aligned","4000",".5",53.015
"72","3",72,"3.5","seq-inverted-simd","1000",".5",0.598
"73","13",73,"13.5","seq-inverted-simd","4000",".5",51.926
"74","4",74,"4.5","seq-inverted-simd-aligned","1000",".5",0.597
"75","15",75,"15.5","parallel-inverted-simd-aligned","4000",".5",4.441
"76","13",76,"13.6","seq-inverted-simd","4000",".6",51.685
"77","8",77,"8.6","seq-inverted-simd","2000",".6",6.098
"78","2",78,"2.6","seq-simd","1000",".6",1.500
"79","9",79,"9.6","seq-inverted-simd-aligned","2000",".6",6.036
"80","6",80,"6.6","seq","2000",".6",23.621
"81","7",81,"7.6","seq-simd","2000",".6",23.312
"82","3",82,"3.6","seq-inverted-simd","1000",".6",0.582
"83","4",83,"4.6","seq-inverted-simd-aligned","1000",".6",0.578
